,team,min,pts,fgm,fga,threepm,threepa,ftm,fta,oreb,dreb,reb,ast,stl,blk,tov,pf,point_diff
0,GSW,0,11,5,16,1,9,0,0,1,2,3,2,1,2,2,5,-15
1,BOS,0,26,10,15,3,5,3,6,3,10,13,7,1,1,3,1,15
2,GSW,240,107,39,86,15,37,14,20,6,36,42,25,15,2,12,17,19
3,BOS,240,88,30,80,15,37,13,17,6,37,43,24,5,7,19,18,-19
4,GSW,240,108,39,88,19,45,11,15,12,27,39,24,8,6,14,16,-12
5,BOS,240,120,43,85,21,41,13,16,7,32,39,33,7,6,13,13,12
6,MIA,240,96,37,88,6,30,16,24,7,37,44,16,4,5,10,18,-4
7,BOS,240,100,35,85,11,32,19,24,10,41,51,22,4,6,13,26,4
8,MIA,240,111,36,78,15,35,24,25,11,26,37,25,10,2,19,27,8
9,BOS,240,103,32,72,11,33,28,31,6,28,34,22,10,4,18,28,-8
10,GSW,240,120,45,88,14,36,16,16,14,37,51,36,6,3,11,20,10
11,DAL,240,110,37,82,17,42,19,25,6,28,34,22,6,4,8,18,-10
12,MIA,240,80,30,94,7,45,13,14,19,30,49,14,7,2,12,19,-13
13,BOS,240,93,33,71,10,33,17,23,6,40,46,24,5,7,15,19,13
14,GSW,240,109,41,84,10,28,17,26,6,36,42,26,5,4,8,18,-10
15,DAL,240,119,41,82,20,43,17,22,4,41,45,30,4,6,8,19,10
16,MIA,240,82,30,90,14,36,8,14,10,29,39,22,4,2,9,26,-20
17,BOS,240,102,31,78,8,34,32,38,14,46,60,21,4,11,11,15,20
18,GSW,240,109,38,81,11,32,22,25,14,33,47,28,5,1,13,23,9
19,DAL,240,100,30,75,13,45,27,34,7,26,33,18,4,2,9,18,-9
20,BOS,240,103,34,70,12,32,23,30,9,35,44,21,2,7,24,21,-6
21,MIA,240,109,43,92,11,33,12,14,8,26,34,22,19,4,9,24,6
22,DAL,240,117,37,78,21,45,22,29,4,26,30,22,7,5,12,20,-9
23,GSW,240,126,46,82,14,28,20,25,8,35,43,33,4,2,16,26,9
24,BOS,240,127,43,84,20,40,21,23,8,33,41,28,8,5,10,21,25
25,MIA,240,102,38,86,10,34,16,22,12,30,42,21,4,3,15,18,-25
26,GSW,240,112,46,82,10,29,10,16,7,44,51,24,8,7,15,22,25
27,DAL,240,87,31,86,11,48,14,21,9,26,35,14,7,1,13,17,-25
28,MIA,240,118,39,80,10,30,30,34,9,30,39,18,10,12,13,24,11
29,BOS,240,107,36,79,11,34,24,32,8,30,38,22,8,8,16,23,-11
30,PHX,240,90,33,87,12,34,12,18,15,24,39,22,8,4,12,18,-33
31,DAL,240,123,46,81,19,39,12,12,6,37,43,14,9,6,12,17,33
32,MIL,240,81,33,90,4,33,11,16,11,45,56,20,5,5,13,18,-28
33,BOS,240,109,37,88,22,55,13,18,8,40,48,29,5,7,14,19,28
34,GSW,240,110,41,104,20,53,8,11,25,45,70,24,3,10,19,17,14
35,MEM,240,96,34,96,15,36,13,20,10,34,44,21,8,6,7,12,-14
36,MIL,240,95,36,88,7,29,16,18,7,42,49,15,5,3,11,25,-13
37,BOS,240,108,38,87,17,43,15,23,8,34,42,22,5,7,8,17,13
38,PHX,240,86,31,78,6,18,18,21,13,32,45,18,3,2,22,27,-27
