,team,min,pts,fgm,fga,threepm,threepa,ftm,fta,oreb,dreb,reb,ast,stl,blk,tov,pf,point_diff
132,CHI,240,81,33,84,9,34,6,10,5,38,43,22,5,2,13,15,-30
133,NOP,240,111,38,79,11,32,24,31,11,34,45,17,4,5,15,28,-3
134,MEM,240,104,35,83,14,37,20,31,13,35,48,22,7,9,18,20,9
135,MIN,240,95,33,85,12,35,17,23,9,32,41,21,11,11,17,28,-9
136,UTA,240,118,39,69,9,28,31,33,1,31,32,20,2,4,14,28,-8
137,DEN,240,113,40,80,11,26,22,27,11,33,44,25,9,3,18,26,-5
138,GSW,240,118,41,74,18,40,18,28,4,26,30,29,7,6,16,25,5
139,DAL,240,126,41,83,18,42,26,31,6,26,32,24,10,1,9,32,8
140,TOR,265,101,38,86,13,35,12,18,9,23,32,23,9,4,11,21,-3
141,PHI,265,104,38,74,13,31,15,20,9,37,46,18,5,3,24,21,3
142,BKN,240,107,35,76,10,21,27,34,9,27,36,16,8,8,14,28,-7
143,BOS,240,114,39,75,11,31,25,31,7,29,36,27,7,4,14,27,7
144,CHI,240,114,44,89,12,25,14,15,6,37,43,25,7,5,13,20,4
145,MIL,240,110,38,82,14,36,20,31,9,35,44,27,4,6,15,17,-4
146,NOP,240,125,46,84,17,30,16,20,11,32,43,32,7,6,17,20,11
147,PHX,240,114,43,86,13,35,15,18,8,25,33,26,9,3,13,18,-11
148,MEM,240,124,44,92,11,34,25,32,14,34,48,29,9,1,12,22,28
149,MIN,240,96,30,76,11,38,25,28,4,36,40,16,5,9,20,28,-28
150,ATL,240,105,41,87,12,40,11,14,7,33,40,21,6,2,19,26,-10
151,MIA,240,115,38,79,14,36,25,29,4,30,34,21,9,6,15,24,10
152,DEN,240,106,37,87,13,36,19,21,17,30,47,20,4,4,18,25,-20
153,GSW,240,126,46,84,17,40,17,24,6,29,35,27,10,8,9,20,20
154,PHI,240,112,36,69,14,30,26,30,7,34,41,20,5,12,16,18,15
155,TOR,240,97,38,89,11,32,10,12,13,22,35,16,7,4,11,24,-15
156,UTA,240,104,38,82,11,29,17,20,11,39,50,19,2,4,10,19,-6
157,DAL,240,110,39,83,22,47,10,13,2,29,31,22,5,2,3,19,6
158,NOP,240,99,36,95,9,23,18,26,25,30,55,20,4,2,14,18,-11
159,MIA,240,115,43,82,18,38,11,18,4,36,40,35,12,3,15,22,24
160,ATL,240,91,29,75,10,36,23,27,8,30,38,16,8,2,18,19,-24
161,BOS,240,115,42,89,12,33,19,24,14,29,43,24,12,5,15,24,1
162,CHI,240,86,31,96,7,37,17,19,16,37,53,17,10,3,11,22,-7
163,BKN,240,114,42,78,11,24,19,24,5,24,29,20,12,6,16,26,-1
164,MIL,240,93,34,84,10,38,15,23,11,47,58,19,4,6,21,21,7
165,PHX,240,110,42,78,10,28,16,21,5,30,35,25,6,9,10,23,11
166,UTA,240,99,36,83,7,22,20,23,13,40,53,15,3,5,14,25,6
167,DAL,240,93,29,76,9,32,26,34,7,27,34,17,8,4,7,22,-6
168,PHI,240,131,43,84,16,32,29,34,10,29,39,29,6,4,4,18,20
169,TOR,240,111,40,82,12,30,19,23,7,28,35,27,1,8,8,26,-20
170,GSW,240,123,43,82,16,35,21,29,10,31,41,33,5,8,13,22,16
171,DEN,240,107,43,93,11,35,10,13,9,26,35,26,8,3,11,22,-16
172,MEM,240,117,39,86,7,27,32,43,8,27,35,25,7,8,12,24,-13
173,MIN,240,130,45,90,16,41,24,27,11,35,46,32,5,7,19,32,13
